,I_max_time,I_max,S_50_time
country,31.5,8993.657349935345,21.1
city_00,32.2,360.5982934079217,21.8
city_10,31.8,360.593058229424,21.5
city_20,31.6,360.57466193853446,21.3
city_30,31.8,360.5930582294239,21.5
city_40,32.2,360.5982934079217,21.8
city_01,31.8,360.5930582294239,21.5
city_11,31.3,360.4346791352954,20.8
city_21,30.8,360.1603103953928,20.200000000000003
city_31,31.3,360.4346791352954,20.8
city_41,31.8,360.59305822942395,21.5
city_02,31.6,360.57466193853446,21.3
city_12,30.8,360.1603103953928,20.200000000000003
city_22,29.200000000000003,356.81413472772743,17.6
city_32,30.8,360.1603103953928,20.200000000000003
city_42,31.6,360.5746619385346,21.3
city_03,31.8,360.5930582294237,21.5
city_13,31.3,360.43467913529526,20.8
city_23,30.8,360.1603103953928,20.200000000000003
city_33,31.3,360.4346791352954,20.8
city_43,31.8,360.5930582294239,21.5
city_04,32.2,360.59829340792163,21.8
city_14,31.8,360.5930582294239,21.5
city_24,31.6,360.57466193853446,21.3
city_34,31.8,360.5930582294239,21.5
city_44,32.2,360.59829340792163,21.8
